Episode,Total Reward,Steps,Tasks Completed,Agent_0_Reward,Agent_1_Reward,Agent_0_Energy,Agent_1_Energy
1,-7.025000000000003,500,0,-2.000000000000001,-5.024999999999997,40.0,100.5
2,-7.025000000000016,500,0,-2.0000000000000004,-5.025,40.0,100.5
3,-7.075000000000008,500,0,-2.000000000000001,-5.074999999999996,40.0,101.5
4,-7.025000000000014,500,0,-1.9999999999999998,-5.025,40.0,100.5
5,-7.100000000000006,500,0,-2.025,-5.074999999999997,40.5,101.5
6,-7.050000000000013,500,0,-2.0250000000000004,-5.025000000000001,40.5,100.5
7,-7.075000000000009,500,0,-2.025000000000001,-5.049999999999994,40.5,101.0
8,-7.0000000000000115,500,0,-2.0000000000000004,-4.999999999999997,40.0,100.0
9,-7.025000000000021,500,0,-2.025,-5.0,40.5,100.0
10,-7.075000000000014,500,0,-2.0750000000000006,-4.999999999999999,41.5,100.0
11,-7.050000000000016,500,0,-2.024999999999999,-5.024999999999995,40.5,100.5
12,-7.05000000000001,500,0,-2.025000000000001,-5.024999999999997,40.5,100.5
13,-7.000000000000012,500,0,-2.0000000000000004,-4.999999999999998,40.0,100.0
14,-7.050000000000025,500,0,-2.025000000000001,-5.024999999999997,40.5,100.5
15,-7.0500000000000105,500,0,-2.0500000000000007,-4.999999999999994,41.0,100.0
