Episode,Total Reward,Steps,Tasks Completed,Agent_0_Reward,Agent_1_Reward
1,-2.391393456131383,10,1,-1.4300444171198883,-0.9613490390114947
2,-1.5817130118677487,27,0,-0.4853025970007996,-1.0964104148669485
3,6.341754416750652,71,9,6.438039523471092,-0.09628510672044266
4,-5.577693190420673,84,12,-2.276271150298262,-3.301422040122412
5,4.430328212734693,94,10,4.52554120751304,-0.09521299477834555
6,1.4228854293868192,55,3,-3.51700434717144,4.939889776558262
7,-3.0960903708081977,31,7,-3.075413614647077,-0.02067675616112008
8,0.6747409097118342,100,13,-0.19259964496536575,0.8673405546771968
9,3.6856825776637248,47,5,4.182564262146272,-0.4968816844825472
10,0.09049633932997647,4,0,0.5873306417250874,-0.49683430239511095
11,0.0,0,0,0.0,0.0
